site_name,sampleID,sample_date,sample_time,sampled_by,flow,flow_status,medium,depth,pH,SpC,temp,DOC,TC,Cl,SO4,NH4,SRP,NO3,TP,Mn_OES,Fe_OES,P,Ca,Mg,Be,Na,Al,Si,K,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Sr,Y,Mo,Ag,Cd,Sn,Sb,Ba,La,Pr,Ce,Nd,Sm,Tb,Gd_160,Dy,Ho,Er,Tm,Yb,Lu,Tl,Pb,Th,U
Forest Rd_BF,WaDE_39,4/12/23,16:00,Kurz,Y,F,WS,6,7.91,106,16.78,1.139,,1.7444,8.3104,3.574,81.133,10.768,78.587,-0.38,-0.197,-0.926,13.568,5.539,0.001,2579,5.529,11002,2703,0.235,0.505,8,17,0.048,0.191,0.152,0.145,0.174,0.062,32.214,0.033,0.243,-0.005,0.001,-0.007,0.014,30.842,0.018,0.007,0.045,0.034,0.008,0,0.007,0.005,0,0.003,0,0.002,0,0.002,-0.008,0.003,0.025
Forest Rd_BE,WaDE_40,4/12/23,16:30,Kurz,Y,F,WS,9,8.12,155,17.22,0.9968,,1.7952,5.6611,1.54,44.577,1.462,55.05,-0.386,-0.234,-0.959,25.633,4.025,0.001,1828,5.792,7647,1952,0.14,0.213,4,17,0.028,0.14,0.176,-0.114,0.123,0.104,38.083,0.028,0.07,-0.003,0,-0.006,0.013,23.006,0.014,0.005,0.025,0.025,0.005,0,0.006,0.004,0,0.002,0,0.001,0,0.001,-0.007,0.002,0.041
Forest Rd_BD,WaDE_41,4/12/23,16:54,Kurz,Y,F,WS,4,7.98,143.1,17.97,0.8888,,1.783,14.7705,4.655,46.342,11.447,64.347,-0.372,-0.209,-0.913,21.213,6.41,0,5575,9.849,8352,2370,0.247,0.298,15,10,0.058,0.152,0.125,0.048,0.167,0.072,52.525,0.024,0.192,-0.006,0.002,-0.007,0.013,32.672,0.012,0.004,0.02,0.023,0.005,0,0.006,0.003,0,0.002,0,0.001,0,0.003,-0.009,0.001,0.049
Forest Rd_BC,WaDE_42,4/12/23,17:05,Kurz,Y,F,WS,3,7.76,164.8,15.04,0.7632,,1.4,1.5682,4.123,49.216,21.056,49.711,-0.356,-0.223,-0.935,34.957,4.219,0,1572,27.637,6974,1622,0.141,0.177,24,14,0.04,0.307,8.476,1.461,0.115,0.123,41.366,0.023,0.123,-0.001,0.002,-0.006,0.016,22.056,0.007,0.002,0.01,0.013,0.003,0,0.003,0.002,0,0.001,0,0.001,0,0.002,-0.008,0,0.063
WBK2,WaDE_49,4/12/23,12:17,Berens,N,P,WS,19.4,NA,NA,NA,2.226,,9.9978,8.1166,22.23,16.768,38.924,59.284,-0.346,-0.243,-0.928,45.317,10.653,0,13387,6.263,1573,1557,0.302,0.082,34,2,0.108,0.213,0.884,3.194,0.233,0.163,49.348,0.025,0.17,-0.006,0.045,-0.004,0.059,70.4,0.024,0.005,0.044,0.024,0.004,0,0.004,0.003,0,0.002,0,0.002,0,0.009,0.012,0,0.38
WBK1,WaDE_50,4/12/23,12:36,Berens,Y,F,WS,12.2,7.7,328,20.12,0.4196,,6.3929,5.1592,2.045,24.248,2533.45,30.396,-0.382,-0.24,-1.006,46.291,13.737,0.013,4040,4.905,4182,1120,0.215,0.225,4,1,0.024,0.212,0.257,0.868,0.068,0.301,44.7,0.104,0.053,1.049,0.01,-0.007,0.019,24.332,0.049,0.012,0.003,0.056,0.01,0.001,0.012,0.01,0.002,0.007,0,0.006,0,0.004,0.003,0,0.188
WBK3,WaDE_51,4/12/23,13:10,Berens,Y,F,WS,4.4,7.13,319,14.97,0.8637,,4.3367,2.8154,5.076,26.74,451.64,35.589,-0.374,-0.23,-0.919,19.595,9.115,-0.003,2728,5.737,4663,1162,0.303,0.111,14,4,0.037,0.044,0.165,1.23,0.168,0.088,17.633,0.015,0.055,-0.007,0,-0.007,0.027,53.06,0.015,0.003,0.028,0.015,0.002,0,0.002,0.002,0,0.001,0,0.001,0,0.005,-0.004,0,0.068
Vanderbilt_BN,WaDE_52,4/12/23,14:13,Berens,Y,F,WS,8.4,7.9,251,16.11,1.04,,2.7823,9.1219,7.143,31.929,105.248,56.236,-0.38,-0.238,-0.905,45.411,5.606,-0.002,2505,4.581,5688,1385,0.17,0.106,7,3,0.032,0.065,0.229,0.176,0.198,0.061,71.27,0.013,0.017,-0.005,0,-0.007,0.018,13.876,0.007,0.001,0.013,0.009,0.002,0,0.002,0.001,0,0,0,0,0,0.002,-0.008,0,0.082
Tusculum_BJ,WaDE_53,4/12/23,14:45,Berens,Y,F,WS,13,7.87,380,18.01,1.084,,4.2845,18.8418,10.149,35.976,302.59,68.635,-0.357,-0.231,-0.996,64.949,11.537,-0.001,3588,3.603,6176,2390,0.337,0.144,25,6,0.05,0.066,0.218,-0.112,0.209,0.141,110.149,0.026,0.197,-0.007,0.001,-0.006,0.027,30.329,0.006,0.001,0.012,0.008,0.001,0,0.002,0.002,0,0.001,0,0.001,0,0.004,-0.01,0,0.21
EFK_BI,WaDE_54,4/12/23,15:12,Berens,Y,F,WS,12.5,8.14,447,17.38,1.363,,17.1507,36.9643,10.624,68.085,2306.84,139,-0.37,-0.195,-0.866,62.008,16.189,0,16914,20.9,3431,2685,0.537,0.329,13,18,0.048,0.221,2.049,4.555,0.365,0.628,141.782,0.047,21.146,-0.007,0.077,-0.006,0.067,60.008,0.016,0.004,0.021,0.023,0.004,0,0.006,0.005,0.001,0.004,0,0.004,0,0.005,-0.001,0.001,12.42
