OBJECTID,GridCode,AreaSqKm,SHAPE_Leng,SHAPE_Area,Water,Developed,Forested,Agricultural,Sum
100107,110486,0.29770001,0.032827591,2.97445E-05,4,76,243,10,333
100121,255206,0.56529997,0.051724801,5.64859E-05,6,53,575,2,636
100306,160893,0.26900002,0.03000962,2.68765E-05,0,5,297,0,302
100415,164542,0.34949999,0.03568395,3.49187E-05,0,0,390,0,390
100513,36259,0.36310001,0.03482248,3.62775E-05,5,51,337,10,403
100531,110319,0.08799999,0.017942445,8.79239E-06,40,6,47,2,95
100582,210707,0.33809999,0.032883174,3.37791E-05,6,62,209,96,373
100646,201440,0.3295,0.030632188,3.29232E-05,0,27,295,40,362
100912,17070,0.0011,0.001566321,1.09911E-07,2,0,0,0,2
100959,251868,0.98070002,0.061245713,9.79787E-05,13,9,1030,45,1097
100962,36256,0.06289998,0.022210799,6.28332E-06,25,17,20,0,62
100963,162434,0.99450002,0.069163115,9.93507E-05,89,86,855,86,1116
101042,226687,0.36150002,0.032701591,3.61122E-05,8,43,351,1,403
101076,147550,0.09299999,0.020347345,9.29049E-06,54,2,43,1,100
101099,72862,0.0003,0.000848717,2.99688E-08,1,0,0,0,1
101216,16967,0.2264,0.025001293,2.26153E-05,22,126,103,0,251
101241,229792,0.73240002,0.057283649,7.31733E-05,15,54,716,29,814
101242,235006,0.37380001,0.043247077,3.73445E-05,0,0,418,0,418
101288,194785,0.3305,0.038636397,3.30195E-05,0,25,338,0,363
101341,17099,0.18759999,0.030953724,1.87431E-05,50,57,67,34,208
101389,91758,0.14160001,0.023121464,1.41459E-05,5,38,116,0,159
101435,257677,0.31159999,0.033870683,3.11376E-05,0,0,344,0,344
101445,206398,0.4289,0.037165985,4.28496E-05,0,0,477,0,477
101528,223991,0.2437,0.029120291,2.43474E-05,5,13,196,57,271
101587,154284,0.27199999,0.0333723,2.71738E-05,0,33,271,0,304
101827,36219,0.20259999,0.029482349,2.02397E-05,3,56,168,0,227
101840,36015,0.02429999,0.010609999,2.42818E-06,0,21,7,4,32
101914,194784,0.16709999,0.022321025,1.66938E-05,0,0,184,0,184
101965,223987,0.31310001,0.032754076,3.12858E-05,0,145,151,52,348
102138,192285,0.26680001,0.029981145,2.66533E-05,2,41,247,10,300
102231,16969,0.23679999,0.02724983,2.36619E-05,2,0,259,5,266
102428,91734,0.0135,0.005324085,1.34857E-06,7,5,2,0,14
102436,91809,0.34589999,0.031577329,3.4554E-05,18,76,257,29,380
102476,262116,0.76169999,0.05930883,7.61005E-05,14,71,526,231,842
102477,175770,0.64250002,0.045258753,6.41869E-05,0,29,687,0,716
102507,129148,0.0377,0.01301269,3.76704E-06,11,19,0,15,45
102508,177041,0.2448,0.029397708,2.44602E-05,0,234,33,3,270
102541,253420,0.2373,0.029259024,2.37058E-05,11,53,201,0,265
102634,73043,0.0004,0.001028097,3.99592E-08,4,0,0,0,4
102746,36130,0.74490001,0.054464312,7.44185E-05,215,271,151,187,824
102889,252458,0.14689999,0.02244634,1.46785E-05,3,81,70,6,160
103098,229110,0.81039999,0.062756727,8.09559E-05,2,31,860,1,894
103134,214728,0.21229999,0.02540256,2.12116E-05,2,39,154,43,238
103210,243495,0.7661,0.053671422,7.65555E-05,0,63,730,57,850
103292,110417,0.13430001,0.021863996,1.3419E-05,2,52,95,3,152
103327,171099,0.17750001,0.022948459,1.77355E-05,0,51,141,7,199
103346,254008,0.5104,0.046191195,5.10058E-05,0,60,499,10,569
103413,218738,0.25270001,0.02984797,2.52493E-05,2,141,117,22,282
103432,36135,0.0005,0.00116379,4.99596E-08,3,0,2,0,5
103542,147825,0.12410001,0.021784206,1.23993E-05,0,70,64,4,138
103668,73024,0.0008,0.001789481,7.99338E-08,1,0,0,0,1
103722,220061,0.34139999,0.03383085,3.41148E-05,0,101,208,72,381
103737,229108,0.03649999,0.011179747,3.64734E-06,1,24,17,0,42
103770,163457,0.475,0.045763624,4.74487E-05,7,0,521,0,528
103783,110310,0.13880001,0.021525385,1.38679E-05,37,15,98,5,155
103808,228358,0.36589999,0.035553933,3.65594E-05,0,0,408,0,408
103844,110628,0.14059999,0.020170736,1.40488E-05,0,69,81,0,150
103871,129169,0.0177,0.008593144,1.76868E-06,0,15,5,0,20
103962,239074,0.2668,0.02987316,2.66617E-05,0,18,279,1,298
103970,110425,0.3402,0.037923922,3.39959E-05,101,183,6,88,378
104059,110366,0.0005,0.001207522,4.99538E-08,1,2,0,0,3
104133,36221,0.137,0.025180302,1.36889E-05,5,65,61,22,153
104144,36052,0.04589999,0.011586186,4.58652E-06,17,28,4,3,52
104197,129222,0.03710001,0.014406996,3.70664E-06,22,11,9,0,42
104241,147655,0.10430001,0.01569938,1.04222E-05,0,26,86,3,115
104336,73066,0.06710001,0.014090404,6.70226E-06,19,7,51,0,77
104392,36013,0.03970002,0.011542411,3.96702E-06,1,18,23,2,44
104645,54644,0.15199998,0.023490609,1.51875E-05,49,33,40,44,166
104857,54570,0.21109999,0.02763966,2.10934E-05,2,47,175,6,230
104939,91825,0.3346,0.031582072,3.34347E-05,0,111,180,79,370
104961,91848,0.0001,0.000402535,9.99197E-09,1,0,0,0,1
105540,216296,0.11089999,0.019632009,1.10763E-05,0,0,123,0,123
106669,54588,0.33079997,0.033905459,3.30385E-05,10,99,255,5,369
106821,242052,0.30020001,0.040631617,2.99819E-05,0,17,282,35,334
108299,128949,2.28630003,0.097721494,0.000228363,337,469,1463,272,2541
108357,239081,0.1188,0.019276987,1.18643E-05,0,0,135,0,135
108617,260622,0.24959999,0.027504913,2.49274E-05,3,33,216,23,275
109009,201447,0.29800002,0.029783266,2.97604E-05,6,12,310,3,331
110626,186248,0.41480001,0.035955828,4.1426E-05,0,28,433,0,461
112000,73019,0.0511,0.014619117,5.10386E-06,13,32,9,0,54
112179,54442,0.59969998,0.043517531,5.99002E-05,155,32,476,2,665
112697,147613,0.59010002,0.042221633,5.89383E-05,82,149,418,8,657
112984,248888,0.48480001,0.044036326,4.8421E-05,12,0,525,0,537
113158,225248,0.3518,0.033648288,3.51376E-05,54,10,329,0,393
113159,171045,0.0013,0.001832772,1.29834E-07,0,0,3,0,3
113177,91881,0.0052,0.004295609,5.19338E-07,0,0,5,1,6
113272,186250,0.217,0.030899901,2.16728E-05,0,0,238,0,238
210270,36132,0.001,0.002191947,9.99121E-08,1,0,0,0,1
210272,36139,0.0004,0.001430774,3.99677E-08,6,0,0,0,6
210375,36076,0.24120001,0.029298725,2.41025E-05,9,0,261,0,270
217173,73094,0.0032,0.003306792,3.1959E-07,0,0,2,0,2
217447,73246,0.13270001,0.028776052,1.32632E-05,0,136,6,4,146
221731,16966,0.00789999,0.007244417,7.89128E-07,7,0,1,0,8
223112,17188,0.04150001,0.01082618,4.14771E-06,0,10,38,0,48
223162,73033,0.0981,0.016546867,9.80124E-06,0,14,88,5,107
223168,73047,0.0603,0.017130607,6.023E-06,5,13,47,0,65
223171,73078,0.015,0.009341962,1.49883E-06,7,7,0,1,15
223196,17075,0.04330001,0.012126122,4.32482E-06,14,8,30,0,52
223197,17076,0.0007,0.002056494,6.99445E-08,1,0,0,0,1
223272,72999,0.07880002,0.01726944,7.87377E-06,5,18,67,0,90
231839,54533,0.0004,0.001207598,3.99674E-08,4,0,0,0,4
231863,54634,0.08950001,0.019238038,8.94619E-06,0,99,0,0,99
231864,54636,0.03030001,0.014528693,3.02815E-06,0,0,34,0,34
231888,54794,0.0501,0.016108045,5.00741E-06,2,45,5,4,56
231934,54447,0.0245,0.012342213,2.44777E-06,20,6,0,0,26
234587,169114,0.1219,0.018562529,1.21826E-05,8,38,54,36,136
236845,110652,0.97510002,0.062552756,9.74647E-05,51,686,292,45,1074
238228,110520,0.1899,0.026808105,1.89825E-05,0,152,57,2,211
238305,110416,0.19940001,0.026976479,1.99148E-05,0,41,176,2,219
238307,110420,0.0111,0.009119396,1.10924E-06,0,13,0,0,13
238309,110423,0.0537,0.012119474,5.36539E-06,0,20,36,3,59
238315,110468,0.88149999,0.054713218,8.81137E-05,39,422,506,10,977
238321,110508,0.22950001,0.031190539,2.29373E-05,19,137,51,55,262
238322,110518,0.0449,0.012297945,4.48799E-06,0,49,0,0,49
238340,110600,0.105,0.022764128,1.04938E-05,0,31,70,9,110
238341,110620,0.2228,0.037312231,2.22745E-05,0,238,13,1,252
238404,110354,0.0023,0.003176358,2.298E-07,0,1,0,0,1
238415,110415,0.00569999,0.005813544,5.69307E-07,0,5,0,0,5
238581,91553,0.002,0.003044986,1.99828E-07,3,0,1,0,4
238591,91621,0.02659999,0.011803323,2.65728E-06,5,3,21,0,29
241710,179435,1.456,0.08160523,0.000145563,0,1611,11,0,1622
242744,238080,0.2581,0.033945012,2.57901E-05,11,6,269,0,286
242844,239026,0.38619999,0.046855067,3.85865E-05,11,31,355,39,436
244667,157729,0.20690001,0.025989085,2.06784E-05,9,120,94,7,230
244855,159454,0.58210001,0.047606813,5.81895E-05,0,630,22,0,652
245190,147708,0.23049999,0.033488022,2.30419E-05,3,256,0,0,259
245266,147615,0.01340001,0.008641061,1.33901E-06,0,12,0,0,12
245291,147717,0.3245,0.045640572,3.24425E-05,0,351,10,0,361
245543,129201,0.1217,0.023262579,1.21631E-05,4,79,38,14,135
245547,129260,0.64980002,0.057745021,6.49625E-05,13,667,34,0,714
245563,129318,0.0352,0.010866688,3.51836E-06,0,36,0,0,36
247013,129093,0.04489998,0.016233857,4.48685E-06,0,44,0,6,50
247015,129111,0.0048,0.007166868,4.79748E-07,0,1,1,0,2
250765,210712,0.23069999,0.028808463,2.30531E-05,6,9,244,0,259
253330,221193,0.2023,0.02790633,2.02138E-05,19,0,206,1,226
257460,147715,0.07059999,0.016505173,7.05798E-06,0,78,0,0,78
257622,147826,0.3703,0.034341137,3.7011E-05,29,98,249,36,412
257753,252459,0.2262,0.027100706,2.26066E-05,0,119,123,6,248
257779,147830,0.0181,0.006664328,1.80882E-06,0,3,17,0,20
257888,147629,0.32520001,0.032929784,3.25038E-05,0,227,105,23,355
258680,253679,0.45850001,0.039901128,4.58403E-05,0,447,66,0,513
258808,147623,0.43299999,0.041954263,4.32706E-05,96,83,248,54,481
258930,17308,1.20009998,0.076076803,0.00011995,6,1055,221,48,1330
262886,164537,0.37470001,0.032501405,3.74247E-05,0,9,341,68,418
263213,54454,0.09530001,0.020931546,9.52218E-06,23,9,49,29,110
263286,212717,0.1593,0.021551378,1.59148E-05,0,12,156,9,177
263396,36018,0.41449998,0.039535543,4.14158E-05,17,105,303,34,459
264106,170536,0.58679999,0.043216048,5.86349E-05,0,0,653,0,653
264137,91776,0.1207,0.022584574,1.20629E-05,4,91,40,2,137
264243,147819,0.16990001,0.020667473,1.69738E-05,13,22,154,0,189
265563,17077,0.12580001,0.020083464,1.25705E-05,25,79,17,17,138
265676,162632,0.4954,0.050350368,4.95034E-05,6,37,505,3,551
